send_time,subject,recipients,opens,clicks
2022-09-20 23:12:07,Your weekly newsletter,79935,7129,3049
2022-08-21 09:08:16,New arrivals just for you,40497,14696,2157
2023-12-15 19:22:07,Don't miss out on these fantastic deals,6668,5937,2309
2022-12-27 14:58:09,Summer sale starts now!,36014,15219,2316
2022-05-06 04:25:13,Don't miss out on these fantastic deals,24115,24115,1972
2023-04-24 07:34:24,Your weekly newsletter,28610,28610,3359
2023-02-11 04:34:20,Don't miss out on these fantastic deals,37478,32071,1200
2023-01-23 13:47:29,Limited time offer: 65% off!,34102,13419,2125
2023-11-07 08:03:08,New arrivals just for you,56264,22067,1096
2023-08-10 03:58:10,Don't miss out on these fantastic deals,3286,3286,1320
2022-03-10 13:56:55,New arrivals just for you,58379,37279,2098
2023-03-25 21:18:04,Don't miss out on these fantastic deals,95890,47125,4396
2022-08-16 20:06:20,Your weekly newsletter,49820,45799,4068
2022-01-03 01:07:45,Summer sale starts now!,57277,15584,4443
2023-11-21 19:36:17,Don't miss out on these fantastic deals,51317,27763,4244
2023-08-01 19:08:44,Limited time offer: 65% off!,23302,23302,220
2022-10-10 17:06:25,New arrivals just for you,99355,42421,775
2022-05-02 05:15:48,Don't miss out on these fantastic deals,63246,40730,4103
2023-03-15 14:36:40,New arrivals just for you,78414,48783,1343
2023-01-24 23:44:36,Your weekly newsletter,94971,16771,366
2022-06-24 11:27:30,Limited time offer: 65% off!,45328,32956,1737
2023-05-07 09:43:57,Your weekly newsletter,53217,49577,3072
2023-06-18 08:49:23,Summer sale starts now!,62097,34988,2934
2023-04-30 03:15:20,New arrivals just for you,71760,3093,2521
2023-08-10 19:01:32,New arrivals just for you,89914,15523,1368
2023-07-29 15:43:21,New arrivals just for you,75592,45876,1402
2023-12-12 01:39:01,New arrivals just for you,95816,39749,370
2023-01-11 21:30:14,Don't miss out on these fantastic deals,2659,2659,2066
2023-06-11 18:44:17,New arrivals just for you,53177,45801,2495
2022-08-12 17:32:25,Limited time offer: 65% off!,9602,9602,1164
2023-10-22 07:51:36,Don't miss out on these fantastic deals,26661,4598,828
2023-04-23 14:51:14,Your weekly newsletter,76316,42234,1159
2022-06-15 06:10:31,New arrivals just for you,88982,1471,956
2023-11-28 12:12:34,Don't miss out on these fantastic deals,31003,31003,2273
2023-02-16 05:59:32,New arrivals just for you,50701,9694,4061
2023-02-27 00:37:06,Don't miss out on these fantastic deals,39534,4056,3180
2023-07-26 19:08:16,Don't miss out on these fantastic deals,12361,12361,184
2023-01-28 04:08:23,Summer sale starts now!,98487,41471,3414
2022-05-24 23:03:31,New arrivals just for you,48825,46520,4819
2023-02-03 05:45:52,Summer sale starts now!,66328,27605,1854
2022-01-14 13:32:26,New arrivals just for you,71674,32309,65
2022-08-11 07:06:46,Summer sale starts now!,85365,49201,493
2023-06-01 04:00:49,Your weekly newsletter,66562,41798,3964
2022-12-11 06:09:26,Don't miss out on these fantastic deals,28277,28277,581
2022-12-04 10:46:49,New arrivals just for you,66583,2591,455
2022-09-27 04:19:26,Limited time offer: 65% off!,89795,30234,762
2022-09-17 06:45:34,Summer sale starts now!,16162,7728,3570
2022-08-04 13:35:18,Don't miss out on these fantastic deals,68433,34925,4525
2022-01-11 09:10:14,New arrivals just for you,70229,39645,404
2022-09-01 23:31:04,Limited time offer: 65% off!,99754,33055,272
2022-08-12 02:02:17,New arrivals just for you,45659,14656,1756
2022-08-24 21:06:20,New arrivals just for you,79030,14981,3997
2023-05-10 10:09:37,Summer sale starts now!,51815,19070,198
2023-06-21 03:24:17,New arrivals just for you,18365,18365,80
2023-08-10 05:16:01,Limited time offer: 65% off!,6155,6155,4519
2022-08-28 01:53:11,Your weekly newsletter,44900,16196,1190
2022-09-07 09:02:49,Your weekly newsletter,80717,15617,3681
2022-07-17 11:54:12,Summer sale starts now!,63676,35803,3136
2023-03-23 07:55:15,New arrivals just for you,19283,19283,2441
2023-04-20 19:18:16,Your weekly newsletter,81167,42256,4769
2023-07-09 21:34:20,Your weekly newsletter,99421,30001,4650
2022-08-01 04:10:11,Your weekly newsletter,41060,38303,764
2023-05-28 09:53:52,Summer sale starts now!,55537,36297,1230
2022-08-16 18:34:35,Your weekly newsletter,64593,28989,661
2023-05-13 09:07:34,Your weekly newsletter,74265,39607,1912
2023-05-22 16:08:22,Don't miss out on these fantastic deals,26084,15244,3826
2022-07-16 04:47:25,Limited time offer: 65% off!,9511,7616,4401
2023-10-09 05:37:23,Limited time offer: 65% off!,84877,14312,3793
2022-10-12 02:44:03,New arrivals just for you,69296,46754,585
2023-11-28 13:55:47,Summer sale starts now!,63079,39244,401
2023-04-04 18:38:30,Your weekly newsletter,70373,19441,1982
2022-07-21 00:00:46,New arrivals just for you,20079,20079,3089
2022-12-30 16:24:57,Limited time offer: 65% off!,58266,15739,1145
2022-07-10 11:50:49,Summer sale starts now!,18121,5670,1738
2022-03-10 19:14:51,Limited time offer: 65% off!,62490,3236,782
2023-06-26 17:13:29,Don't miss out on these fantastic deals,72266,5914,2204
2022-11-09 22:27:42,Don't miss out on these fantastic deals,81739,28509,2406
2022-06-15 21:53:34,Your weekly newsletter,59032,24671,4878
2023-07-16 15:19:25,New arrivals just for you,1308,1308,1308
2023-07-22 10:38:49,Limited time offer: 65% off!,91152,11536,3464
2023-01-20 02:03:11,Your weekly newsletter,4784,4784,4308
2022-04-26 00:00:49,Limited time offer: 65% off!,53003,39926,4379
2023-12-29 22:43:24,Summer sale starts now!,25786,18574,1493
2022-10-02 13:29:59,Summer sale starts now!,44204,23400,3358
2022-11-12 04:27:55,Don't miss out on these fantastic deals,25039,14063,4318
2022-01-08 19:32:12,New arrivals just for you,53229,5842,4132
2022-04-10 21:46:03,Summer sale starts now!,41989,41989,4920
2022-03-17 08:45:57,Your weekly newsletter,76605,139,139
2023-12-26 21:34:54,Don't miss out on these fantastic deals,21468,21468,2809
2023-01-16 02:30:17,Don't miss out on these fantastic deals,33609,5305,2883
2022-04-09 12:55:44,New arrivals just for you,77626,19230,1588
2022-02-23 09:54:37,Don't miss out on these fantastic deals,70669,26464,4631
2023-10-21 07:20:13,Limited time offer: 65% off!,75569,39511,4498
