hour_of_day,day_of_week,subject,opens,clicks,ctr
23,1,Your weekly newsletter,7129,3049,0.42768971805302286
9,6,New arrivals just for you,14696,2157,0.14677463255307566
19,4,Don't miss out on these fantastic deals,5937,2309,0.3889169614283308
14,1,Summer sale starts now!,15219,2316,0.15217819830475063
4,4,Don't miss out on these fantastic deals,24115,1972,0.08177482894464026
7,0,Your weekly newsletter,28610,3359,0.11740650122334848
4,5,Don't miss out on these fantastic deals,32071,1200,0.03741698107324374
13,0,Limited time offer: 65% off!,13419,2125,0.1583575527237499
8,1,New arrivals just for you,22067,1096,0.04966692346037069
3,3,Don't miss out on these fantastic deals,3286,1320,0.40170419963481435
13,3,New arrivals just for you,37279,2098,0.05627833364628879
21,5,Don't miss out on these fantastic deals,47125,4396,0.09328381962864722
20,1,Your weekly newsletter,45799,4068,0.08882290006332016
1,0,Summer sale starts now!,15584,4443,0.2851001026694045
19,1,Don't miss out on these fantastic deals,27763,4244,0.15286532435255556
19,1,Limited time offer: 65% off!,23302,220,0.009441249678139215
17,0,New arrivals just for you,42421,775,0.018269253435798306
5,0,Don't miss out on these fantastic deals,40730,4103,0.10073655781978885
14,2,New arrivals just for you,48783,1343,0.02753008220076666
23,1,Your weekly newsletter,16771,366,0.021823385606105777
11,4,Limited time offer: 65% off!,32956,1737,0.05270663915523729
9,6,Your weekly newsletter,49577,3072,0.06196421727817335
8,6,Summer sale starts now!,34988,2934,0.08385732251057505
3,6,New arrivals just for you,3093,2521,0.8150662786938248
19,3,New arrivals just for you,15523,1368,0.08812729498164015
15,5,New arrivals just for you,45876,1402,0.030560641729880548
1,1,New arrivals just for you,39749,370,0.009308410274472314
21,2,Don't miss out on these fantastic deals,2659,2066,0.7769838285069575
18,6,New arrivals just for you,45801,2495,0.05447479312678762
17,4,Limited time offer: 65% off!,9602,1164,0.121224744844824
7,6,Don't miss out on these fantastic deals,4598,828,0.1800782949108308
14,6,Your weekly newsletter,42234,1159,0.02744234503007056
6,2,New arrivals just for you,1471,956,0.6498980285520054
12,1,Don't miss out on these fantastic deals,31003,2273,0.07331548559816792
5,3,New arrivals just for you,9694,4061,0.4189189189189189
0,0,Don't miss out on these fantastic deals,4056,3180,0.7840236686390533
19,2,Don't miss out on these fantastic deals,12361,184,0.014885527060917402
4,5,Summer sale starts now!,41471,3414,0.08232258686793181
23,1,New arrivals just for you,46520,4819,0.10358985382631127
5,4,Summer sale starts now!,27605,1854,0.06716174606049628
13,4,New arrivals just for you,32309,65,0.0020118233309604134
7,3,Summer sale starts now!,49201,493,0.010020121542245077
4,3,Your weekly newsletter,41798,3964,0.09483707354418872
6,6,Don't miss out on these fantastic deals,28277,581,0.0205467340948474
10,6,New arrivals just for you,2591,455,0.1756078734079506
4,1,Limited time offer: 65% off!,30234,762,0.025203413375669777
6,5,Summer sale starts now!,7728,3570,0.46195652173913043
13,3,Don't miss out on these fantastic deals,34925,4525,0.12956335003579098
9,1,New arrivals just for you,39645,404,0.010190440156387943
23,3,Limited time offer: 65% off!,33055,272,0.008228709726213887
2,4,New arrivals just for you,14656,1756,0.11981441048034934
21,2,New arrivals just for you,14981,3997,0.2668046191843001
10,2,Summer sale starts now!,19070,198,0.01038280020975354
3,2,New arrivals just for you,18365,80,0.004356112169888375
5,3,Limited time offer: 65% off!,6155,4519,0.734199837530463
1,6,Your weekly newsletter,16196,1190,0.07347493208199556
9,2,Your weekly newsletter,15617,3681,0.23570468079656784
11,6,Summer sale starts now!,35803,3136,0.08759042538334777
